Index,Rank_x,Previous Rank,Name,Country/Territory,Region_x,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,Type,State,City,Zip,Region_y,isPublic,Institution_Control,Photo,Rank_y,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
nan,nan,nan,fresno pacific university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-west,CA,Fresno,93727.0,west,True,private,nan,47.0,nan,76.0,97.0,36660.0,3.6,nan,nan,1616.0,nan,nan,29022.0,nan,nan,"Fresno Pacific University is a private institution that was founded in 1944. It has a total undergraduate enrollment of 1,616 (fall 2023), its setting is suburban, and the campus size is 42 acres. It utilizes a semester-based academic calendar. Fresno Pacific University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #47. Its tuition and fees are $36,660."
nan,nan,nan,friends university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-midwest,KS,Wichita,67213.0,midwest,True,private,https://www.usnews.com/dims4/USNEWS/54ad002/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fc2%2F6a08ff0823f50ae40dd7f31b710584%2Fcollege-photo_32726.jpg,128.0,17.0,nan,56.0,34192.0,3.5,< 2.0,nan,1460.0,nan,915.0,nan,915-1090,17-22,"Friends University is a private institution that was founded in 1898. It has a total undergraduate enrollment of 1,460 (fall 2023), its setting is city, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Friends University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #128. Its tuition and fees are $34,192."
nan,nan,nan,frostburg state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-north,MD,Frostburg,21532.0,north,True,public,https://www.usnews.com/dims4/USNEWS/6956e9b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fff%2F02cc4a063d38d84024cfe524a5843d%2Fcollege-photo_27160.jpg,91.0,19.0,nan,89.0,25814.0,3.4,< 2.0,nan,3344.0,2.0,950.0,nan,950-1170,19-21,"Frostburg State University is a public institution that was founded in 1898. It has a total undergraduate enrollment of 3,344 (fall 2023), its setting is rural, and the campus size is 260 acres. It utilizes a semester-based academic calendar. Frostburg State University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #91. Its in-state tuition and fees are $10,220; out-of-state tuition and fees are $25,814."
1230.0,1201-1400,1201-1400,fu jen catholic university,Taiwan,Asia,L,FC,HI,Private not for Profit,10.6,701+,10.8,701+,4.5,801+,14.9,801+,13.2,801+,8.1,801+,12.5,801+,9.3,801+,35.8,479,44.5,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.0,30,39,fudan university,China (Mainland),Asia,XL,FC,VH,Public,93.7,50,95.1,49,84.8,137,92.8,89,88.5,234,46.4,433,51.4,402,75.5,431,73.3,193,83.1,134,88.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,furman university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-liberal-arts-colleges,SC,Greenville,29613.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/961d61d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F16%2F251b652d61d777d571dce581e428b5%2Fcollege-photo_36339.jpg,45.0,28.0,45.0,53.0,59770.0,3.7,nan,nan,2327.0,nan,1260.0,33725.0,1260-1425,28-32,"Furman University is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,327 (fall 2023), and the campus size is 800 acres. It utilizes a semester-based academic calendar. Furman University's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #45. Its tuition and fees are $59,770."
909.0,901-950,901-950,future university in egypt,Egypt,Africa,M,FO,VH,Private not for Profit,7.1,701+,40.5,334,47.2,416,5.3,801+,18.2,738,33.0,558,34.5,558,50.4,801+,3.3,801+,35.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,galen college of nursing--louisville,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,health,KY,Louisville,nan,nan,True,proprietary,nan,-2.0,nan,nan,nan,nan,nan,nan,nan,3999.0,nan,nan,nan,nan,nan,"Galen College of Nursing--Louisville is a proprietary institution that was founded in 1989. It has a total undergraduate enrollment of 3,999 (fall 2022), and the campus size is 11 acres.   "
1231.0,1201-1400,nan,galgotias university,India,Asia,L,CO,HI,Private not for Profit,16.6,701+,4.6,701+,36.2,553,3.2,801+,21.1,696,15.0,801+,18.1,793,16.9,801+,3.3,801+,nan,nan,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,gallaudet university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,DC,Washington,20002.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/3e12474/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F3e%2F7cc69d2a605ae1ddc15f8bfc725fc7%2Fcollege-photo_9682.jpg,214.0,14.0,91.0,61.0,19654.0,3.2,nan,nan,919.0,nan,750.0,16375.0,750-933,14-18,"Gallaudet University is a private institution that was founded in 1864. It has a total undergraduate enrollment of 919 (fall 2023), its setting is city, and the campus size is 99 acres. It utilizes a semester-based academic calendar. Gallaudet University's ranking in the 2025 edition of Best Colleges is National Universities, #214. Its tuition and fees are $19,654."
