Index,Rank_x,Previous Rank,Name,Country/Territory,Region_x,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,Type,State,City,Zip,Region_y,isPublic,Institution_Control,Photo,Rank_y,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
306.0,306,306,aalborg university,Denmark,Europe,L,FC,VH,Public,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597,35.4,546,91.7,148,25.4,634,79.1,186,44.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
114.0,114,113,aalto university,Finland,Europe,L,FO,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343,63.9,312,80.9,332,97.1,55,88.3,77,66.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,aaniiih nakoda college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tribal,MT,nan,nan,nan,True,public,nan,-2.0,nan,nan,nan,nan,nan,nan,nan,115.0,nan,nan,nan,nan,nan,Aaniiih Nakoda College is a public institution.    
131.0,131,144,aarhus university,Denmark,Europe,L,FC,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,19.1,777,96.3,52,79.4,164,73.2,271=,64.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
742.0,741-750,661-670,aberystwyth university,United Kingdom,Europe,M,CO,VH,Public,12.8,701+,11.5,701+,27.6,687,23.9,658,61.3,382=,42.0,475,45.4,457,63.3,646,11.0,801+,63.1,439=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,abilene christian university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,TX,Abilene,79699.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/154295b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F29%2F66cf079a8d9a10be0108b57d478603%2Fcollege-photo_36610.jpg,296.0,20.0,nan,64.0,44200.0,3.6,2.3,nan,3175.0,2.0,1010.0,nan,1010-1250,20-28,"Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,175 (fall 2023), its setting is suburban, and the campus size is 272 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $44,200."
643.0,643,621-630,abo akademi university,Finland,Europe,M,CO,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,26.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,abraham baldwin agricultural college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-colleges-south,GA,Tifton,31793.0,south,True,public,nan,44.0,16.0,nan,67.0,nan,nan,nan,nan,3647.0,nan,890.0,nan,890-1100,16-21,"Abraham Baldwin Agricultural College is a public institution that was founded in 1908. It has a total undergraduate enrollment of 3,647 (fall 2022), and the campus size is 400 acres.  Abraham Baldwin Agricultural College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #44. "
391.0,391,501,abu dhabi university,United Arab Emirates,Asia,S,FO,VH,Private for Profit,24.6,518,49.8,256,23.9,755,35.9,518,100.0,5,99.9,44,99.9,32,34.5,801+,10.1,801+,49.6,711=,38.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
951.0,951-1000,851-900,abylkas saginov karaganda technical university,Kazakhstan,Asia,M,FO,HI,Public,10.3,701+,16.9,701+,90.3,102,1.3,801+,15.5,794,25.6,652,26.4,665,3.1,801+,7.8,801+,29.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,academy of art university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-west,CA,San Francisco,94105.0,west,True,proprietary,nan,-1.0,nan,nan,nan,nan,nan,nan,nan,4555.0,nan,nan,nan,nan,nan,"Academy of Art University is a proprietary institution that was founded in 1929.   Academy of Art University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. "
1201.0,1201-1400,nan,ada university,Azerbaijan,Asia,S,SP,LO,Public,8.4,701+,22.4,595,62.3,286,1.3,801+,20.2,710,7.7,801+,11.9,801+,5.2,801+,12.0,801+,nan,nan,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
743.0,741-750,761-770,adam mickiewicz university,Poland,Europe,L,CO,VH,Public,24.1,528,12.3,701+,45.7,427,8.8,801+,10.9,801+,15.6,801+,21.7,737,88.7,196,15.8,801+,63.6,431,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,adams state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-west,CO,Alamosa,81102.0,west,True,public,https://www.usnews.com/dims4/USNEWS/538bf4d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F04%2Fae84165c3be420e40e7199f6ae2af2%2FDJI_0147.jpg,-1.0,15.0,nan,31.0,21847.0,3.2,nan,nan,1749.0,nan,910.0,nan,910-1130,15-26,"Adams State University is a public institution.  It utilizes a semester-based academic calendar. Adams State University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. Its in-state tuition and fees are $9,775; out-of-state tuition and fees are $21,847."
1002.0,1001-1200,nan,adamson university,Philippines,Asia,M,CO,MD,Private for Profit,39.3,306,17.9,701+,7.6,801+,1.7,801+,18.1,741,2.8,801+,7.1,801+,4.8,801+,3.5,801+,10.1,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
853.0,851-900,771-780,addis ababa university,Ethiopia,Africa,XL,FO,VH,nan,7.8,701+,12.1,701+,65.3,267,2.5,801+,nan,nan,nan,nan,nan,nan,63.8,636,96.9,62,41.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82.0,82,nan,adelaide university,Australia,Oceania,XL,CO,VH,nan,78.3,102,62.7,176,30.5,621,69.8,218,100.0,90,97.5,96,72.5,251,96.7,46,70.4,207,86.1,98=,72.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,adelphi university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,NY,Garden City,11530.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/ccc859c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F22be9e669abf6493ab475fccbe64a5%2Fcollege-photo_37212.jpg,189.0,23.0,59.0,78.0,49110.0,3.7,nan,nan,5124.0,2.3,1110.0,41461.0,1110-1305,23-29,"Adelphi University is a private institution that was founded in 1896. It has a total undergraduate enrollment of 5,124 (fall 2023), its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Adelphi University's ranking in the 2025 edition of Best Colleges is National Universities, #189. Its tuition and fees are $49,110."
nan,nan,nan,adrian college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-colleges-midwest,MI,Adrian,49221.0,midwest,True,private,https://www.usnews.com/dims4/USNEWS/5c71648/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F48%2F73bd0689a2418139ac50a9f4053eb7%2Fcollege-photo_697.jpg,32.0,18.0,87.0,68.0,41684.0,3.2,nan,nan,1678.0,nan,880.0,19483.0,880-1120,18-26,"Adrian College is a private institution that was founded in 1859. It has a total undergraduate enrollment of 1,678 (fall 2023), its setting is suburban, and the campus size is 132 acres. It utilizes a semester-based academic calendar. Adrian College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #32. Its tuition and fees are $41,684."
nan,nan,nan,adventhealth university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,health,FL,Orlando,32803.0,nan,True,private,nan,-2.0,nan,nan,34.0,nan,nan,nan,nan,1110.0,nan,nan,nan,nan,nan,AdventHealth University is a private institution.    
1003.0,1001-1200,nan,aga khan university,Pakistan,Asia,S,FO,VH,Private not for Profit,6.4,701+,10.0,701+,100.0,2,11.4,801+,1.5,801+,2.0,801+,1.7,801+,18.2,801+,8.3,801+,22.6,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
804.0,801-850,851-900,agh university of krakow,Poland,Europe,L,CO,VH,Public,13.1,701+,30.6,465,54.7,344,12.7,801+,4.4,801+,7.3,801+,12.1,801+,75.6,430,4.0,801+,47.4,776=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,agnes scott college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-liberal-arts-colleges,GA,Decatur,30030.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/9350c5c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F3368b551708e38e8bc32259fc86009%2Fusnews-campus.jpg,63.0,26.0,71.0,68.0,50604.0,3.7,nan,nan,911.0,nan,1180.0,27468.0,1180-1350,26-31,"Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 911 (fall 2023), its setting is city, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $50,604."
805.0,801-850,711-720,ahlia university,Bahrain,Asia,S,SP,HI,Private not for Profit,18.1,677,9.9,701+,38.4,528,10.3,801+,100.0,51,61.7,330,46.0,454,11.1,801+,12.1,801+,26.4,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1202.0,1201-1400,nan,"ahmadu bello university, zaria",Nigeria,Africa,XL,CO,HI,nan,6.3,701+,9.4,701+,10.0,801+,2.2,801+,2.0,801+,1.4,801+,5.8,801+,44.1,801+,80.8,154,28.0,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
542.0,542,592,ain shams university,Egypt,Africa,XL,FC,VH,Public,35.6,340,38.8,357,17.1,801+,3.5,801+,29.5,590,13.7,801+,19.7,769,80.8,336,69.6,216,56.7,562=,30.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
428.0,428,481,aix-marseille university,France,Europe,XL,FC,VH,Public,51.0,218,15.9,701+,11.0,801+,29.7,591,22.8,678,29.0,604,21.7,734,99.0,15,29.0,571,63.2,436=,35.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
440.0,440,477,ajman university,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,27.8,454,51.3,241,15.7,801+,10.2,801+,100.0,8,100.0,4,99.7,37,65.2,621,12.8,801+,46.2,801+,34.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
563.0,563,631-640,ajou university,Republic of Korea,Asia,M,FC,VH,Private not for Profit,19.8,623,22.1,600,70.2,230,34.3,530,13.3,801+,58.0,355,58.4,350,18.1,801+,5.3,801+,53.3,636=,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1407.0,1401+,1401+,akdeniz üniversitesi,Türkiye,Asia,XL,FC,HI,Public,8.3,701+,8.0,701+,5.6,801+,6.1,801+,2.2,801+,6.0,801+,11.4,801+,47.6,801+,2.4,801+,22.1,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
558.0,558,552,al ain university,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,25.6,494,20.8,631,20.8,801+,17.0,764,100.0,1,100.0,20,74.4,238,37.1,801+,7.3,801+,42.9,801+,29.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1004.0,1001-1200,1001-1200,al azhar university,Egypt,Africa,XL,CO,VH,Public,21.5,574,13.9,701+,14.9,801+,2.0,801+,1.7,801+,16.8,782,12.7,801+,64.4,630,33.2,510,35.3,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
904.0,901-950,801-850,al jouf university,Saudi Arabia,Asia,M,FC,VH,Public,12.6,701+,9.8,701+,44.8,440,7.0,801+,99.2,126,3.2,801+,7.3,801+,56.9,740,2.9,801+,23.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
952.0,951-1000,nan,al nahrain university,Iraq,Asia,M,FO,VH,Public,8.2,701+,24.1,559,98.9,45,3.7,801+,2.5,801+,1.0,801+,5.5,801+,15.6,801+,10.1,801+,29.4,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1203.0,1201-1400,nan,al zaytoonah university,Jordan,Asia,M,CO,HI,Private not for Profit,5.9,701+,7.7,701+,4.9,801+,8.1,801+,26.9,628,52.4,394,48.3,432,16.8,801+,5.3,801+,14.1,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
761.0,761-770,801-850,al-ahliyya amman university,Jordan,Asia,M,FO,VH,Private not for Profit,17.1,701+,21.0,625,15.8,801+,6.4,801+,93.7,196,100.0,29,98.0,79,32.7,801+,6.0,801+,38.2,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1204.0,1201-1400,1201-1400,al-balqa applied university,Jordan,Asia,L,FC,HI,Public,10.2,701+,15.4,701+,6.0,801+,5.8,801+,15.2,801+,5.2,801+,9.2,801+,46.0,801+,5.5,801+,41.8,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
166.0,166,163,al-farabi kazakh national university,Kazakhstan,Asia,L,FC,HI,Public,60.7,172,86.3,85,99.6,36,2.1,801+,80.9,288,83.2,204,79.3,213,75.7,426,66.2,234,62.8,443,59.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
953.0,951-1000,851-900,al-quds university,Palestine,Asia,M,FC,MD,Public,10.1,701+,20.5,644,19.4,801+,2.8,801+,72.3,327,90.5,163,76.3,229,15.0,801+,12.3,801+,40.1,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,alabama a&m university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-south,AL,Normal,35762.0,south,True,public,https://www.usnews.com/dims4/USNEWS/8ad92ff/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fa1%2F63386d8b09aaf181f83b4c2f6f77b7%2Fcollege-photo_7105.jpg,97.0,14.0,nan,66.0,18634.0,nan,2.5,nan,5845.0,2.1,810.0,nan,810-1060,14-19,"Alabama A&M University is a public institution that was founded in 1875. It has a total undergraduate enrollment of 5,845 (fall 2023), and the campus size is 1,173 acres.  Alabama A&M University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $10,024; out-of-state tuition and fees are $18,634."
nan,nan,nan,alabama state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,AL,Montgomery,36101.0,nan,True,public,https://www.usnews.com/dims4/USNEWS/473064e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fe4%2F152c17fc5ff69c24531512e0638cc4%2FImage_103_%282%29.JPG,-1.0,16.0,nan,96.0,19396.0,3.1,nan,nan,3322.0,nan,865.0,nan,865-1069,16-20,"Alabama State University is a public institution that was founded in 1867. It has a total undergraduate enrollment of 3,322 (fall 2023), and the campus size is 172 acres. It utilizes a semester-based academic calendar. Alabama State University's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. Its in-state tuition and fees are $11,068; out-of-state tuition and fees are $19,396."
nan,nan,nan,alaska pacific university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-colleges-west,AK,Anchorage,99508.0,west,True,private,https://www.usnews.com/dims4/USNEWS/b3b598a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F6f%2F77f90133981627ed1b7cd275e31632%2F8G0A2173.jpg,-1.0,nan,nan,99.0,nan,nan,nan,nan,490.0,nan,nan,nan,nan,nan,"Alaska Pacific University is a private institution that was founded in 1959. It has a total undergraduate enrollment of 490 (fall 2022), and the campus size is 170 acres.  Alaska Pacific University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #42-45. "
nan,nan,nan,albany college of pharmacy and health sciences,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,health,NY,Albany,12208.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/73fb475/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fea%2F8c1e2a1f65a930a553c81d699c22ab%2Fcollege-photo_31346.jpg,-2.0,nan,nan,59.0,40025.0,3.5,nan,nan,547.0,nan,nan,nan,nan,nan,"Albany College of Pharmacy and Health Sciences is a private institution that was founded in 1881. It has a total undergraduate enrollment of 547 (fall 2023), its setting is urban, and the campus size is 35 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $40,025."
nan,nan,nan,albany state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-south,GA,Albany,31705.0,south,True,public,https://www.usnews.com/dims4/USNEWS/1652791/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F81%2F926f7f5b5f61d8ee58ccbbf1330ac4%2Fcollege-photo_7193.jpg,97.0,14.0,nan,73.0,19902.0,nan,nan,nan,6018.0,nan,790.0,nan,790-958,14-17,"Albany State University is a public institution that was founded in 1903. It has a total undergraduate enrollment of 6,018 (fall 2023), its setting is urban, and the campus size is 231 acres. It utilizes a semester-based academic calendar. Albany State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $6,500; out-of-state tuition and fees are $19,902."
nan,nan,nan,albertus magnus college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-north,CT,New Haven,6511.0,north,True,private,https://www.usnews.com/dims4/USNEWS/1f91495/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F64%2F884531762102cc3725cd525f036aa5%2Fcollege-photo_20214.jpg,120.0,nan,nan,64.0,41908.0,2.9,nan,nan,892.0,nan,820.0,nan,820-1150,nan,"Albertus Magnus College is a private institution that was founded in 1925. It has a total undergraduate enrollment of 892 (fall 2023), its setting is suburban, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Albertus Magnus College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #120. Its tuition and fees are $41,908."
nan,nan,nan,albion college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-liberal-arts-colleges,MI,Albion,49224.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/e732959/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F92%2F1d9a8d88dc9c50ac90db24ab9c5a8a%2Fcollege-photo_30436.jpg,126.0,nan,nan,83.0,56950.0,3.5,nan,nan,1354.0,nan,nan,nan,nan,nan,"Albion College is a private institution that was founded in 1835. It has a total undergraduate enrollment of 1,354 (fall 2023), its setting is rural, and the campus size is 574 acres. It utilizes a semester-based academic calendar. Albion College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #126. Its tuition and fees are $56,950."
nan,nan,nan,albizu university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,health,PR,San Juan,902.0,nan,True,private,nan,-2.0,nan,nan,100.0,nan,nan,nan,nan,703.0,nan,nan,nan,nan,nan,Albizu University is a private institution.    
nan,nan,nan,albizu university--miami,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,FL,Miami,nan,nan,True,private,nan,-2.0,nan,nan,89.0,nan,nan,nan,nan,217.0,nan,nan,nan,nan,nan,Albizu University--Miami is a private institution that was founded in 1966.    
nan,nan,nan,albright college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-liberal-arts-colleges,PA,Reading,19612.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/484a59e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F80%2Fa41e5e8ab86377e011d7000651e550%2Fcollege-photo_21197.jpg,158.0,nan,nan,83.0,29082.0,nan,nan,nan,1323.0,nan,nan,nan,nan,nan,"Albright College is a private institution that was founded in 1856. It has a total undergraduate enrollment of 1,323 (fall 2023), and the campus size is 118 acres. It utilizes a semester-based academic calendar. Albright College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #158. Its tuition and fees are $29,082."
nan,nan,nan,alcorn state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-south,MS,Lorman,39096.0,south,True,public,https://www.usnews.com/dims4/USNEWS/51d49a7/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fda%2F141723e3774954ea31fbffba1b0ed6%2Fcollege-photo_8280.jpg,51.0,15.0,nan,25.0,8785.0,3.3,nan,nan,2432.0,nan,850.0,nan,850-998,15-19,"Alcorn State University is a public institution that was founded in 1871. It has a total undergraduate enrollment of 2,432 (fall 2023), its setting is rural, and the campus size is 1,756 acres. It utilizes a semester-based academic calendar. Alcorn State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #51. Its in-state tuition and fees are $8,785; out-of-state tuition and fees are $8,785."
782.0,781-790,801-850,alexandria university,Egypt,Africa,XL,FC,VH,Public,32.7,376,24.2,555,7.2,801+,3.5,801+,1.9,801+,13.6,801+,19.0,780,80.7,341,33.0,514,56.6,568=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1005.0,1001-1200,1201-1400,alexandru ioan cuza university,Romania,Europe,L,CO,HI,Public,11.7,701+,20.6,641,7.8,801+,5.8,801+,4.6,801+,17.0,779,21.4,742,49.1,801+,23.1,668,48.7,737=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
806.0,801-850,791-800,alfaisal university,Saudi Arabia,Asia,S,FO,VH,Private not for Profit,7.9,701+,5.9,701+,31.7,605,21.8,687,100.0,29,96.7,102,92.4,127,28.1,801+,5.7,801+,31.0,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
